MS-DRG,MS-DRG Title, Average Charges 
552,MEDICAL BACK PROBLEMS W/O MCC,"$26,472.11 "
311,ANGINA PECTORIS,"$21,179.60 "
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$50,082.59 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$28,717.41 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$25,435.81 "
602,CELLULITIS W MCC,"$40,106.94 "
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$33,743.51 "
551,MEDICAL BACK PROBLEMS W MCC,"$42,744.59 "
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$42,416.43 "
517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"$39,852.30 "
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"$39,011.44 "
292,HEART FAILURE & SHOCK W CC,"$28,075.94 "
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$23,466.82 "
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$22,840.10 "
673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,"$91,374.41 "
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$83,629.25 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$62,841.48 "
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","$59,396.99 "
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"$56,618.71 "
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"$55,002.54 "
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","$33,410.44 "
947,SIGNS & SYMPTOMS W MCC,"$33,383.26 "
302,ATHEROSCLEROSIS W MCC,"$30,886.31 "
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$18,297.65 "
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"$103,481.89 "
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"$68,787.89 "
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","$49,223.92 "
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","$47,750.93 "
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"$44,777.69 "
300,PERIPHERAL VASCULAR DISORDERS W CC,"$29,546.51 "
948,SIGNS & SYMPTOMS W/O MCC,"$23,481.64 "
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$110,758.23 "
473,CERVICAL SPINAL FUSION W/O CC/MCC,"$60,961.34 "
542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,"$49,088.24 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$44,903.54 "
388,G.I. OBSTRUCTION W MCC,"$42,019.19 "
202,BRONCHITIS & ASTHMA W CC/MCC,"$27,266.63 "
389,G.I. OBSTRUCTION W CC,"$25,480.26 "
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","$25,290.25 "
639,DIABETES W/O CC/MCC,"$19,857.05 "
4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$231,222.94 "
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"$139,742.63 "
252,OTHER VASCULAR PROCEDURES W MCC,"$84,199.21 "
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"$63,418.81 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$28,248.66 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$27,688.58 "
149,DYSEQUILIBRIUM,"$21,793.99 "
293,HEART FAILURE & SHOCK W/O CC/MCC,"$21,038.98 "
390,G.I. OBSTRUCTION W/O CC/MCC,"$19,139.04 "
73,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"$39,055.83 "
884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,"$34,871.10 "
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","$24,737.55 "
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"$20,343.14 "
795,NORMAL NEWBORN,"$8,906.78 "
480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"$78,931.34 "
255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,"$66,480.92 "
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"$57,208.43 "
643,ENDOCRINE DISORDERS W MCC,"$43,684.62 "
175,PULMONARY EMBOLISM W MCC,"$40,634.94 "
299,PERIPHERAL VASCULAR DISORDERS W MCC,"$39,238.40 "
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$32,425.96 "
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$30,548.24 "
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$28,835.90 "
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$27,533.10 "
812,RED BLOOD CELL DISORDERS W/O MCC,"$26,200.70 "
880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"$24,367.46 "
882,NEUROSES EXCEPT DEPRESSIVE,"$23,642.02 "
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$21,934.61 "
305,HYPERTENSION W/O MCC,"$21,483.04 "
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"$126,334.88 "
82,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC","$57,556.31 "
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","$56,184.47 "
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","$47,775.62 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$45,530.28 "
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"$43,598.29 "
557,"TENDONITIS, MYOSITIS & BURSITIS W MCC","$40,027.98 "
750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"$36,489.76 "
535,FRACTURES OF HIP & PELVIS W MCC,"$35,428.76 "
375,DIGESTIVE MALIGNANCY W CC,"$34,883.43 "
543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"$31,061.48 "
304,HYPERTENSION W MCC,"$30,286.70 "
644,ENDOCRINE DISORDERS W CC,"$29,149.27 "
760,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC,"$25,603.62 "
72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$23,175.68 "
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"$22,928.97 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$22,344.17 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$21,063.59 "
379,G.I. HEMORRHAGE W/O CC/MCC,"$20,323.42 "
916,ALLERGIC REACTIONS W/O MCC,"$19,227.88 "
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$125,648.92 "
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"$95,847.75 "
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"$83,399.78 "
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$79,614.78 "
472,CERVICAL SPINAL FUSION W CC,"$74,823.13 "
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","$73,453.73 "
579,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC","$70,065.98 "
374,DIGESTIVE MALIGNANCY W MCC,"$53,800.96 "
368,MAJOR ESOPHAGEAL DISORDERS W MCC,"$49,749.50 "
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$46,620.82 "
482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"$45,604.28 "
540,OSTEOMYELITIS W CC,"$36,282.47 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"$25,675.16 "
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","$25,554.29 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$24,508.08 "
554,BONE DISEASES & ARTHROPATHIES W/O MCC,"$22,963.49 "
645,ENDOCRINE DISORDERS W/O CC/MCC,"$22,647.69 "
93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$22,405.86 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$22,309.62 "
684,RENAL FAILURE W/O CC/MCC,"$19,923.69 "
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"$143,445.51 "
245,AICD GENERATOR PROCEDURES,"$138,950.63 "
463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC","$128,210.09 "
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,"$107,360.60 "
335,PERITONEAL ADHESIOLYSIS W MCC,"$105,428.63 "
492,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC","$85,862.25 "
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$83,811.84 "
665,PROSTATECTOMY W MCC,"$81,482.60 "
840,LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,"$80,396.94 "
515,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,"$76,454.05 "
341,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,"$65,807.29 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$63,418.81 "
259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,"$55,910.57 "
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"$53,680.02 "
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,"$52,239.12 "
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"$48,841.49 "
813,COAGULATION DISORDERS,"$47,129.15 "
444,DISORDERS OF THE BILIARY TRACT W MCC,"$43,889.45 "
196,INTERSTITIAL LUNG DISEASE W MCC,"$43,808.03 "
512,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC","$41,330.74 "
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"$37,577.84 "
502,SOFT TISSUE PROCEDURES W/O CC/MCC,"$35,599.00 "
181,RESPIRATORY NEOPLASMS W CC,"$32,941.59 "
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$30,015.27 "
55,NERVOUS SYSTEM NEOPLASMS W/O MCC,"$29,080.12 "
920,COMPLICATIONS OF TREATMENT W CC,"$29,075.27 "
596,MAJOR SKIN DISORDERS W/O MCC,"$28,576.79 "
158,DENTAL & ORAL DISEASES W CC,"$26,341.33 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$25,986.05 "
766,CESAREAN SECTION W/O CC/MCC,"$25,073.17 "
607,MINOR SKIN DISORDERS W/O MCC,"$23,908.49 "
556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,"$23,639.57 "
204,RESPIRATORY SIGNS & SYMPTOMS,"$23,323.74 "
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","$23,136.20 "
536,FRACTURES OF HIP & PELVIS W/O MCC,"$23,035.06 "
103,HEADACHES W/O MCC,"$22,916.64 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$22,679.75 "
203,BRONCHITIS & ASTHMA W/O CC/MCC,"$21,826.05 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$20,163.04 "
3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$292,855.96 "
222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,"$178,151.41 "
223,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,"$136,139.94 "
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,"$137,778.61 "
163,MAJOR CHEST PROCEDURES W MCC,"$126,362.02 "
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,"$119,043.68 "
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"$98,329.95 "
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,"$92,936.24 "
628,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC","$92,659.90 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$91,936.94 "
414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,"$91,932.00 "
876,O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,"$91,009.22 "
904,SKIN GRAFTS FOR INJURIES W CC/MCC,"$84,630.97 "
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$84,268.26 "
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,"$84,194.27 "
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"$78,684.60 "
518,BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM,"$75,800.18 "
464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","$74,586.26 "
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"$73,925.00 "
974,HIV W MAJOR RELATED CONDITION W MCC,"$72,846.74 "
963,OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,"$70,507.68 "
668,TRANSURETHRAL PROCEDURES W MCC,"$69,434.36 "
570,SKIN DEBRIDEMENT W MCC,"$68,442.45 "
253,OTHER VASCULAR PROCEDURES W CC,"$66,966.94 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$65,706.14 "
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,"$64,963.43 "
27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"$62,809.43 "
629,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC","$61,555.94 "
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,"$59,653.64 "
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,"$56,939.45 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$56,233.82 "
623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC","$51,225.00 "
539,OSTEOMYELITIS W MCC,"$50,924.00 "
584,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC","$50,208.43 "
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"$49,144.99 "
519,BACK & NECK PROC EXC SPINAL FUSION W CC,"$48,925.40 "
597,MALIGNANT BREAST DISORDERS W MCC,"$48,913.03 "
843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,"$48,560.24 "
919,COMPLICATIONS OF TREATMENT W MCC,"$47,615.18 "
666,PROSTATECTOMY W CC,"$47,338.83 "
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$46,966.28 "
504,FOOT PROCEDURES W CC,"$46,958.86 "
354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,"$46,951.43 "
744,"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC","$46,349.41 "
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$45,767.12 "
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"$45,628.94 "
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,"$45,155.19 "
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","$44,913.41 "
58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,"$44,841.87 "
746,"VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC","$44,743.16 "
585,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MCC","$43,704.34 "
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","$42,806.28 "
186,PLEURAL EFFUSION W MCC,"$42,036.45 "
52,SPINAL DISORDERS & INJURIES W CC/MCC,"$41,653.96 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"$41,256.74 "
296,"CARDIAC ARREST, UNEXPLAINED W MCC","$41,190.11 "
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"$41,138.27 "
582,MASTECTOMY FOR MALIGNANCY W CC/MCC,"$40,987.79 "
922,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC","$40,985.30 "
592,SKIN ULCERS W MCC,"$40,980.40 "
533,FRACTURES OF FEMUR W MCC,"$39,899.69 "
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"$39,171.79 "
604,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC","$38,752.34 "
497,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC,"$38,651.19 "
606,MINOR SKIN DISORDERS W MCC,"$38,525.32 "
913,TRAUMATIC INJURY W MCC,"$38,461.20 "
383,UNCOMPLICATED PEPTIC ULCER W MCC,"$37,600.07 "
811,RED BLOOD CELL DISORDERS W MCC,"$37,422.39 "
150,EPISTAXIS W MCC,"$37,057.20 "
54,NERVOUS SYSTEM NEOPLASMS W MCC,"$36,864.79 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$36,622.96 "
553,BONE DISEASES & ARTHROPATHIES W MCC,"$36,225.74 "
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"$36,188.69 "
725,BENIGN PROSTATIC HYPERTROPHY W MCC,"$35,845.77 "
147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC","$35,273.26 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$34,022.34 "
549,SEPTIC ARTHRITIS W CC,"$33,894.08 "
765,CESAREAN SECTION W CC/MCC,"$33,459.77 "
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"$32,433.35 "
369,MAJOR ESOPHAGEAL DISORDERS W CC,"$31,258.85 "
598,MALIGNANT BREAST DISORDERS W CC,"$31,249.01 "
381,COMPLICATED PEPTIC ULCER W CC,"$31,019.54 "
187,PLEURAL EFFUSION W CC,"$30,493.97 "
729,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W CC/MCC,"$30,464.39 "
152,OTITIS MEDIA & URI W MCC,"$30,353.33 "
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"$30,239.87 "
593,SKIN ULCERS W CC,"$30,225.05 "
697,URETHRAL STRICTURE,"$29,820.38 "
537,"SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W CC/MCC","$28,302.89 "
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","$27,597.25 "
68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"$26,523.95 "
176,PULMONARY EMBOLISM W/O MCC,"$26,506.65 "
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"$26,045.26 "
864,FEVER,"$25,887.36 "
87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","$24,947.27 "
914,TRAUMATIC INJURY W/O MCC,"$24,902.84 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"$24,443.90 "
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$23,950.49 "
770,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY","$23,856.67 "
700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,"$23,577.87 "
544,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,"$23,560.61 "
125,OTHER DISORDERS OF THE EYE W/O MCC,"$23,471.79 "
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"$21,596.55 "
761,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC,"$20,271.58 "
601,NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,"$19,943.45 "
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","$17,355.10 "
