drg_number,drg_name,avg tot chgs
MS435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,42537.1
MS436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,22680.48
MS438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,44056.27
MS439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,18745.98
MS440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,12105.74
MS441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC",51627.68
MS442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",20854.42
MS443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC",20394.71
MS444,DISORDERS OF THE BILIARY TRACT W MCC,39458.6
MS445,DISORDERS OF THE BILIARY TRACT W CC,25276.42
MS446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,22136.36
MS454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,177387.34
MS455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,113554.28
MS457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,159409.78
MS459,SPINAL FUSION EXCEPT CERVICAL W MCC,186096.34
MS460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,92534.67
MS462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,51859.27
MS463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC",129310.26
MS464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC",94404.77
MS465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC",67781.39
MS466,REVISION OF HIP OR KNEE REPLACEMENT W MCC,84248.74
MS467,REVISION OF HIP OR KNEE REPLACEMENT W CC,68667.56
MS468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,58714.97
MS469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,72375.46
MS470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,38027.78
MS472,CERVICAL SPINAL FUSION W CC,73047.75
MS473,CERVICAL SPINAL FUSION W/O CC/MCC,51838.38
MS474,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,109877.57
MS475,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,74243.89
MS478,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,69191.02
MS480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,74843.46
MS481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,56510.62
MS482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,46127.4
MS483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,47277.27
MS492,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC",102384.51
MS493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC",55190.09
MS494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC",36333.23
MS496,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,54002.99
MS497,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC,38448
MS500,SOFT TISSUE PROCEDURES W MCC,96991.36
MS501,SOFT TISSUE PROCEDURES W CC,59142.2
MS502,SOFT TISSUE PROCEDURES W/O CC/MCC,35121.09
MS508,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC,28509.78
MS511,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC",37728.61
MS512,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC",34308.04
MS513,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC",70057.51
MS514,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC",23592.53
MS515,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,77361.7
MS516,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,48649.42
MS517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,40030.26
MS519,BACK & NECK PROC EXC SPINAL FUSION W CC,54118.21
MS520,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,34592.08
MS535,FRACTURES OF HIP & PELVIS W MCC,31630.32
MS536,FRACTURES OF HIP & PELVIS W/O MCC,18647.83
MS540,OSTEOMYELITIS W CC,30899.69
MS542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,138017.01
MS543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,31215.47
MS544,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,23232.49
MS545,CONNECTIVE TISSUE DISORDERS W MCC,109797.82
MS546,CONNECTIVE TISSUE DISORDERS W CC,32068.64
MS551,MEDICAL BACK PROBLEMS W MCC,47313.41
MS552,MEDICAL BACK PROBLEMS W/O MCC,21233.7
MS554,BONE DISEASES & ARTHROPATHIES W/O MCC,14568.4
MS555,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC,33858.6
MS556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,18036.39
MS558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC",22009.68
MS559,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC",45937.68
MS560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC",44816.79
MS561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC",20985.95
MS563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",18615.4
MS565,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,25375.94
MS566,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,27115.24
MS571,SKIN DEBRIDEMENT W CC,48388.24
MS572,SKIN DEBRIDEMENT W/O CC/MCC,53092.99
MS577,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC,61792.08
MS578,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,40020.27
MS579,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC",99546.61
MS580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC",43463.27
MS581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC",42306.77
MS593,SKIN ULCERS W CC,27917.56
MS596,MAJOR SKIN DISORDERS W/O MCC,17672.09
MS602,CELLULITIS W MCC,30752.98
MS603,CELLULITIS W/O MCC,17043.55
MS604,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC",42196.39
MS605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC",23794.21
MS607,MINOR SKIN DISORDERS W/O MCC,14688.98
MS614,ADRENAL & PITUITARY PROCEDURES W CC/MCC,48107.22
MS615,ADRENAL & PITUITARY PROCEDURES W/O CC/MCC,36605.4
MS617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC",74088.61
MS620,O.R. PROCEDURES FOR OBESITY W CC,54462.16
MS621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,47870.66
MS626,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC",49810.15
MS627,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC",29363.84
MS637,DIABETES W MCC,32282.3
MS638,DIABETES W CC,17404.89
MS639,DIABETES W/O CC/MCC,28169.37
MS640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",37808.69
MS641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",22675.98
MS643,ENDOCRINE DISORDERS W MCC,39467.19
MS644,ENDOCRINE DISORDERS W CC,20612.34
MS652,KIDNEY TRANSPLANT,138686.72
MS653,MAJOR BLADDER PROCEDURES W MCC,156786.55
MS654,MAJOR BLADDER PROCEDURES W CC,94663.07
MS655,MAJOR BLADDER PROCEDURES W/O CC/MCC,78030.47
MS656,KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC,86594.23
MS657,KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,58314.8
MS658,KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,41838.99
MS659,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC,83542.98
MS660,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,43165.57
MS661,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,11978.24
MS669,TRANSURETHRAL PROCEDURES W CC,39305.05
MS673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,143272.24
MS674,OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,64333.93
MS682,RENAL FAILURE W MCC,46409.98
MS683,RENAL FAILURE W CC,27576.07
MS684,RENAL FAILURE W/O CC/MCC,14721.8
MS687,KIDNEY & URINARY TRACT NEOPLASMS W CC,36372.04
MS689,KIDNEY & URINARY TRACT INFECTIONS W MCC,28778.12
MS690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,18481.87
MS694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,23878.18
MS696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,18108.6
MS698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,39681.1
MS699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,24500.25
MS700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,15960.54
MS707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,67628.71
MS708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,51298.89
MS728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,26131.96
MS734,"PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W CC/MCC",66933.41
MS737,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC,71340.31
MS740,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC",57404.96
MS742,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,38700.48
MS743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,34414.8
MS746,"VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC",33019.85
MS765,CESAREAN SECTION W CC/MCC,30488.57
