drg_number,drg_name,avg tot chgs
MS683,RENAL FAILURE W CC,16418.96
MS690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,20481.49
MS698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,41981.93
MS699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,37404.01
MS708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,66597.41
MS809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,23797.89
MS812,RED BLOOD CELL DISORDERS W/O MCC,22943.46
MS847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,32751.64
MS853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,110054
MS862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,43882.6
MS871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,57192.42
MS872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,25147.88
