DRG,DRG Desc,Average charge total
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"$151,305 "
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"$88,083 "
469,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,"$173,875 "
470,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$89,971 "
473,CERVICAL SPINAL FUSION W/O CC/MCC,"$78,326 "
480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"$132,524 "
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"$114,610 "
482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"$90,366 "
493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","$105,299 "
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","$91,697 "
536,FRACTURES OF HIP & PELVIS W/O MCC,"$34,564 "
552,MEDICAL BACK PROBLEMS W/O MCC,"$28,929 "
554,BONE DISEASES & ARTHROPATHIES W/O MCC,"$31,909 "
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","$18,632 "
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","$24,319 "
571,SKIN DEBRIDEMENT W CC,"$67,860 "
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","$68,224 "
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","$90,601 "
602,CELLULITIS W MCC,"$33,371 "
603,CELLULITIS W/O MCC,"$26,240 "
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","$29,480 "
607,MINOR SKIN DISORDERS W/O MCC,"$48,136 "
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,"$75,580 "
637,DIABETES W MCC,"$52,783 "
638,DIABETES W CC,"$34,638 "
639,DIABETES W/O CC/MCC,"$28,570 "
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","$36,844 "
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","$29,466 "
643,ENDOCRINE DISORDERS W MCC,"$57,291 "
644,ENDOCRINE DISORDERS W CC,"$33,937 "
682,RENAL FAILURE W MCC,"$47,967 "
683,RENAL FAILURE W CC,"$33,882 "
684,RENAL FAILURE W/O CC/MCC,"$25,582 "
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"$34,554 "
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"$31,559 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$25,303 "
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"$44,182 "
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"$33,692 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"$39,849 "
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"$35,498 "
765,CESAREAN SECTION W CC/MCC,"$43,962 "
766,CESAREAN SECTION W/O CC/MCC,"$38,480 "
767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,"$54,901 "
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"$29,432 "
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"$27,016 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"$18,940 "
788,NO DESCRIPTION:  CODE 788,"$38,660 "
790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE","$44,633 "
791,PREMATURITY W MAJOR PROBLEMS,"$11,898 "
792,PREMATURITY W/O MAJOR PROBLEMS,"$16,461 "
793,FULL TERM NEONATE W MAJOR PROBLEMS,"$11,928 "
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"$8,000 "
795,NORMAL NEWBORN,"$6,271 "
807,NO DESCRIPTION:  CODE 807,"$23,849 "
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,"$33,239 "
811,RED BLOOD CELL DISORDERS W MCC,"$46,129 "
812,RED BLOOD CELL DISORDERS W/O MCC,"$28,093 "
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"$174,436 "
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"$80,413 "
862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,"$63,553 "
870,SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,"$244,737 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,"$73,067 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,"$39,791 "
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"$52,116 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"$28,159 "
916,ALLERGIC REACTIONS W/O MCC,"$11,809 "
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"$62,667 "
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"$19,638 "
948,SIGNS & SYMPTOMS W/O MCC,"$21,840 "
951,OTHER FACTORS INFLUENCING HEALTH STATUS,"$4,674 "
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$117,488 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$92,880 "
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$63,138 "
